airport;airportname;city;state;latitude;longitude;altitude;operation
SDJV;MUNICIPAL DE SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;SP;22° 1' 0'' S;46° 50' 26'' W;762 m;VFR Diurno/Noturno
SDKE;CORIBE;CORIBE;BA;13° 46' 38'' S;44° 27' 52'' W;670 m;VFR Diurno
SDKF;JUAZEIRO;CURAÇÁ;BA;9° 9' 19'' S;40° 5' 30'' W;392 m;VFR Diurno
SDKJ;FORMOSA DO RIO PRETO;FORMOSA DO RIO PRETO;BA;11° 1' 16'' S;45° 11' 14'' W;511 m;VFR Diurno
SDKK;MOCOCA;MOCOCA;SP;21° 29' 14'' S;47° 2' 2'' W;651 m;VFR Diurno
SDLC;LUCÉLIA;LUCÉLIA;SP;21° 44' 58'' S;51° 1' 6'' W;450 m;VFR Diurno
SDLE;RIO DE CONTAS;RIO DE CONTAS;BA;13° 34' 59'' S;41° 47' 27'' W;1146 m;VFR Diurno
SDLI;JEOVÁ GOMES CORRÊA;ABARÉ;BA;8° 44' 19'' S;39° 7' 33'' W;291 m;VFR Diurno
SDLK;CACULÉ;CACULÉ;BA;14° 28' 52'' S;42° 15' 53'' W;662 m;VFR Diurno
SDLL;LEME;LEME;SP;22° 13' 37'' S;47° 22' 56'' W;617 m;VFR Diurno
SDLP;LENÇÓIS PAULISTA;LENÇÓIS PAULISTA;SP;22° 34' 42'' S;48° 46' 28'' W;621 m;VFR Diurno/Noturno
SDLY;ARMANDO NATALI;MATÃO;SP;21° 37' 23'' S;48° 21' 9'' W;635 m;VFR Diurno
SDMC;MARICÁ;MARICÁ;RJ;22° 55' 5'' S;42° 49' 44'' W;4 m;VFR Diurno
SDMH;MIRASSOL;MIRASSOL;SP;20° 48' 26'' S;49° 29' 10'' W;584 m;VFR Diurno
SDMJ;MOJI MIRIM;MOJI MIRIM;SP;22° 24' 36'' S;46° 54' 17'' W;693 m;VFR Diurno
SDMO;MONTE ALTO;MONTE ALTO;SP;21° 15' 41'' S;48° 31' 47'' W;750 m;VFR Diurno
SDNH;NOVO HORIZONTE;NOVO HORIZONTE;SP;21° 29' 52'' S;49° 14' 4'' W;465 m;VFR Diurno
SDNO;NELSON GARÓFALO;SÃO MANUEL;SP;22° 41' 46'' S;48° 34' 34'' W;730 m;VFR Diurno/Noturno
SDOU;OURINHOS;OURINHOS;SP;22° 58' 25'' S;49° 54' 41'' W;467 m;VFR Diurno/Noturno
SDOV;MOZARLÂNDIA;MOZARLÂNDIA;GO;14° 44' 41'' S;50° 34' 14'' W;328 m;VFR Diurno
